Time	Gx	Gy	Gz	Ax	Ay	Az
2044	0.06	-0.26	-0.35	0.10	0.00	0.96
2063	0.00	-0.31	-0.32	0.11	0.01	0.96
2082	-0.08	-0.17	-0.32	0.11	0.01	0.97
2100	-0.15	-0.27	-0.38	0.11	0.01	0.97
2119	-0.15	-0.27	-0.34	0.11	0.00	0.96
2138	-0.12	-0.21	-0.34	0.11	0.01	0.97
2158	0.02	-0.23	-0.31	0.11	0.01	0.96
2176	-0.02	-0.17	-0.34	0.10	0.00	0.96
2195	-0.09	-0.31	-0.35	0.11	0.01	0.96
2214	-0.24	-0.26	-0.29	0.10	0.00	0.97
2232	-0.15	-0.21	-0.32	0.11	0.00	0.97
2252	-0.11	-0.29	-0.21	0.10	0.01	0.96
2271	0.11	-0.27	-0.41	0.11	0.01	0.96
2290	0.14	-0.29	-0.35	0.10	0.01	0.96
2308	-0.05	-0.26	-0.38	0.11	0.01	0.97
2327	-0.18	-0.26	-0.38	0.11	0.01	0.96
2346	-0.15	-0.27	-0.29	0.10	0.01	0.97
2365	-0.11	-0.26	-0.46	0.11	0.00	0.96
2385	-0.03	-0.31	-0.35	0.11	0.01	0.97
2403	0.03	-0.27	-0.37	0.11	0.01	0.96
2421	-0.08	-0.18	-0.26	0.10	0.01	0.96
2441	-0.23	-0.31	-0.43	0.11	0.01	0.97
2459	-0.12	-0.27	-0.34	0.11	0.00	0.97
2479	-0.11	-0.32	-0.34	0.11	0.01	0.96
2497	0.00	-0.27	-0.31	0.11	0.01	0.97
2516	0.03	-0.34	-0.37	0.10	0.01	0.96
2535	-0.24	-0.29	-0.32	0.11	0.01	0.97
2553	-0.09	-0.23	-0.41	0.11	0.01	0.96
2573	-0.14	-0.26	-0.37	0.11	0.01	0.97
2592	0.05	-0.24	-0.34	0.11	0.00	0.97
2611	0.02	-0.26	-0.40	0.11	0.00	0.96
2629	-0.06	-0.21	-0.34	0.10	0.00	0.97
2648	-0.14	-0.32	-0.40	0.11	0.01	0.96
2667	-0.17	-0.29	-0.34	0.10	0.01	0.96
2685	-0.14	-0.20	-0.37	0.11	0.01	0.97
2704	0.11	-0.24	-0.38	0.11	0.00	0.96
2722	-0.03	-0.26	-0.31	0.11	0.01	0.97
2740	0.03	-0.21	-0.35	0.11	0.01	0.96
2758	-0.06	-0.24	-0.38	0.10	0.01	0.96
2777	-0.23	-0.31	-0.41	0.11	0.00	0.96
2796	-0.08	-0.21	-0.34	0.11	0.01	0.97
2814	-0.05	-0.15	-0.31	0.11	0.00	0.97
2833	-0.02	-0.24	-0.38	0.11	0.00	0.96
2851	-0.11	-0.15	-0.35	0.10	0.01	0.96
2871	-0.18	-0.24	-0.38	0.11	0.01	0.96
2889	-0.17	-0.35	-0.32	0.11	0.01	0.96
2908	-0.18	-0.23	-0.29	0.11	0.00	0.97
2926	-0.06	-0.29	-0.37	0.10	0.00	0.96
2944	0.06	-0.27	-0.37	0.11	0.01	0.97
2962	0.03	-0.23	-0.35	0.11	0.01	0.97
2981	-0.06	-0.21	-0.37	0.11	0.01	0.96
2999	-0.12	-0.24	-0.31	0.11	0.00	0.97
3018	-0.11	-0.17	-0.38	0.11	0.01	0.96
3037	-0.09	-0.29	-0.40	0.11	0.00	0.97
3055	0.03	-0.26	-0.43	0.11	0.00	0.97
3074	0.03	-0.21	-0.29	0.11	0.01	0.96
3092	-0.14	-0.32	-0.34	0.11	0.01	0.96
3110	-0.23	-0.26	-0.34	0.11	0.01	0.97
3129	-0.06	-0.32	-0.40	0.11	0.00	0.97
3147	-0.17	-0.27	-0.41	0.10	0.00	0.96
3166	0.06	-0.24	-0.35	0.11	0.00	0.96
3184	0.03	-0.24	-0.41	0.11	0.01	0.97
3202	-0.08	-0.24	-0.35	0.10	0.01	0.96
3221	-0.14	-0.31	-0.29	0.11	0.01	0.97
3240	-0.08	-0.27	-0.35	0.10	0.00	0.97
3258	-0.24	-0.27	-0.34	0.10	0.00	0.97
3277	-0.03	-0.23	-0.43	0.10	0.00	0.97
3296	0.02	-0.31	-0.32	0.11	0.01	0.96
3316	-0.11	-0.26	-0.35	0.11	0.00	0.97
3335	-0.18	-0.21	-0.43	0.11	0.00	0.97
