Time	Gx	Gy	Gz	Ax	Ay	Az
11735	1.89	297.07	-55.07	-0.74	-0.10	2.95
11753	17.03	179.40	-75.65	-0.45	-0.04	2.88
11773	18.55	131.03	-85.92	0.14	0.12	2.78
11791	2.06	150.01	-88.32	0.54	0.24	2.67
11808	-25.04	208.01	-74.16	0.68	0.27	2.50
11827	-50.46	276.40	-52.17	0.57	0.19	2.25
11845	-58.93	304.67	-42.74	0.44	0.14	2.13
11863	-65.31	339.86	-29.51	0.23	0.04	1.98
11882	-56.08	351.35	-20.83	0.07	-0.05	1.87
11901	-39.17	347.61	-9.81	-0.05	-0.04	1.76
11921	-26.25	329.18	1.68	-0.21	-0.03	1.62
11939	-14.36	296.52	9.45	-0.22	-0.03	1.45
11958	-9.29	281.36	11.83	-0.09	0.01	1.29
11977	-4.18	263.32	13.78	-0.05	0.02	1.19
11995	-4.87	254.44	17.26	-0.07	0.03	0.98
12014	-5.31	242.39	20.42	-0.09	-0.01	0.76
12032	-3.30	232.70	20.55	-0.00	-0.04	0.59
12051	-1.13	235.66	18.33	0.08	-0.04	0.46
12069	-1.19	239.93	16.37	0.07	-0.03	0.39
12089	-3.33	243.88	10.97	0.00	-0.03	0.29
12107	-5.36	239.06	4.78	-0.06	-0.06	0.20
12125	-4.18	227.49	0.09	-0.08	-0.09	0.13
12145	0.40	213.64	-0.96	-0.09	-0.10	0.06
12163	4.87	195.74	2.79	-0.14	-0.09	-0.01
12183	6.70	183.96	6.20	-0.15	-0.10	-0.02
12202	9.41	159.53	12.08	-0.14	-0.05	-0.04
12220	7.71	136.25	14.74	-0.16	-0.05	-0.07
12239	6.12	107.18	17.15	-0.19	-0.06	-0.14
12258	6.52	74.48	19.18	-0.19	-0.06	-0.21
12277	6.81	48.42	18.28	-0.12	-0.07	-0.26
12296	6.00	31.16	14.22	-0.09	-0.07	-0.31
12314	5.43	23.80	11.98	-0.12	-0.07	-0.35
12334	5.11	6.88	9.84	-0.11	-0.07	-0.39
12352	4.27	-8.94	9.14	-0.08	-0.06	-0.41
12372	2.53	-17.20	6.77	-0.04	-0.06	-0.42
12391	1.11	-22.63	2.43	-0.07	-0.06	-0.43
12410	-0.21	-31.48	-0.55	-0.09	-0.06	-0.42
12431	-2.03	-39.18	-0.75	-0.05	-0.05	-0.39
12451	-4.78	-42.83	-0.76	-0.05	-0.04	-0.35
12471	-7.13	-46.28	-3.42	-0.07	-0.04	-0.31
12491	-7.58	-55.45	-6.61	-0.08	-0.05	-0.27
12512	-7.06	-64.83	-7.75	-0.07	-0.04	-0.20
12532	-7.06	-72.25	-8.38	-0.07	-0.04	-0.12
12552	-5.55	-81.67	-10.38	-0.10	-0.04	-0.02
12572	-2.78	-95.90	-12.07	-0.15	-0.03	0.08
12591	-1.68	-115.94	-11.58	-0.19	-0.00	0.17
12611	-1.19	-139.27	-11.99	-0.22	-0.02	0.27
12630	2.85	-166.15	-13.95	-0.25	-0.04	0.37
