Time	Gx	Gy	Gz	Ax	Ay	Az
7587	-0.23	-47.12	135.82	-0.01	-0.14	0.98
7605	-3.13	-52.37	117.29	-0.02	-0.15	0.92
7626	-5.46	-57.68	101.62	-0.03	-0.16	0.85
7644	-5.87	-60.07	95.34	-0.04	-0.21	0.79
7664	-2.09	-64.44	83.68	-0.04	-0.27	0.73
7683	8.18	-68.47	73.84	-0.04	-0.28	0.70
7703	21.27	-70.62	67.87	0.01	-0.29	0.60
7721	35.68	-65.67	65.38	0.04	-0.30	0.50
7739	49.59	-57.66	65.05	0.04	-0.28	0.39
7757	61.66	-49.21	66.07	0.05	-0.25	0.29
7775	66.22	-44.89	67.69	0.06	-0.24	0.24
7795	71.87	-34.48	71.41	0.05	-0.19	0.13
7813	71.58	-27.65	73.62	0.04	-0.15	0.04
7830	66.16	-19.20	75.68	0.07	-0.15	-0.02
7850	61.86	-7.71	74.80	0.06	-0.16	-0.06
7868	59.39	-2.75	70.97	0.03	-0.17	-0.07
7888	53.74	4.87	57.77	0.00	-0.16	-0.03
7906	47.32	7.90	42.16	-0.02	-0.16	-0.01
7924	37.83	6.32	21.26	-0.07	-0.12	0.03
7943	23.47	0.20	-5.74	-0.10	-0.08	0.09
7961	5.52	-10.24	-32.71	-0.11	-0.08	0.15
7980	-3.30	-16.31	-44.97	-0.07	-0.11	0.19
8001	-21.58	-22.03	-77.99	-0.01	-0.16	0.23
8020	-24.14	-22.43	-88.91	0.02	-0.16	0.29
8040	-29.10	-17.36	-109.42	0.02	-0.17	0.34
8058	-30.17	-14.42	-124.39	0.03	-0.21	0.39
8078	-25.05	-10.82	-135.42	0.04	-0.19	0.41
8098	-26.21	-5.89	-146.04	0.06	-0.11	0.47
8117	-31.92	-1.74	-151.00	0.06	-0.11	0.57
8136	-33.13	1.80	-149.61	0.08	-0.19	0.65
8155	-24.77	6.03	-149.80	0.09	-0.17	0.75
8174	-22.40	9.29	-146.41	0.09	-0.10	0.88
8193	-23.15	9.99	-140.72	0.09	-0.06	1.01
8211	-25.16	10.73	-124.91	0.12	-0.10	1.05
8231	-21.38	16.05	-115.13	0.18	-0.11	1.13
8249	-19.85	23.04	-106.02	0.18	-0.06	1.23
8268	-18.94	26.23	-89.74	0.12	-0.11	1.28
8286	-12.27	27.98	-76.71	0.18	0.01	1.37
8306	-15.87	30.06	-70.80	0.10	0.07	1.38
8324	-27.68	27.77	-56.76	0.06	-0.02	1.32
8342	-22.23	21.10	-44.57	0.16	-0.10	1.38
8361	-16.51	27.53	-38.67	0.25	0.05	1.59
