Time	Gx	Gy	Gz	Ax	Ay	Az
2022	-0.05	-0.27	-0.37	0.11	0.00	0.97
2042	-0.11	-0.27	-0.34	0.11	0.01	0.96
2060	-0.03	-0.21	-0.38	0.11	0.01	0.97
2079	-0.05	-0.26	-0.34	0.11	0.01	0.97
2098	-0.12	-0.20	-0.38	0.11	0.01	0.97
2117	-0.06	-0.21	-0.38	0.11	0.00	0.96
2136	-0.14	-0.21	-0.40	0.11	0.00	0.97
2155	-0.11	-0.18	-0.32	0.11	0.00	0.96
2175	0.05	-0.20	-0.32	0.11	0.01	0.97
2193	-0.12	-0.18	-0.37	0.11	0.01	0.96
2211	-0.06	-0.21	-0.31	0.11	0.01	0.96
2231	-0.06	-0.32	-0.37	0.11	0.01	0.97
2250	-0.09	-0.23	-0.43	0.11	0.01	0.96
2270	-0.09	-0.24	-0.41	0.11	0.01	0.96
2288	0.03	-0.21	-0.34	0.11	0.01	0.96
2307	-0.18	-0.27	-0.35	0.11	0.01	0.97
2326	0.03	-0.14	-0.35	0.11	0.01	0.96
2344	0.00	-0.29	-0.43	0.11	0.01	0.97
2363	0.02	-0.27	-0.29	0.11	0.00	0.97
2381	0.00	-0.17	-0.29	0.11	0.01	0.96
2400	0.02	-0.29	-0.35	0.11	0.01	0.96
2418	-0.03	-0.31	-0.37	0.11	0.01	0.97
2437	-0.05	-0.27	-0.32	0.11	0.00	0.96
2458	-0.09	-0.21	-0.37	0.11	0.00	0.96
2476	0.02	-0.27	-0.43	0.11	0.01	0.96
2495	-0.08	-0.27	-0.37	0.11	0.01	0.96
2514	-0.20	-0.24	-0.38	0.11	0.01	0.96
2532	-0.17	-0.21	-0.40	0.11	0.01	0.96
2551	-0.12	-0.26	-0.41	0.11	0.00	0.97
2571	-0.02	-0.27	-0.31	0.11	0.01	0.96
2590	-0.02	-0.27	-0.32	0.11	0.01	0.96
2609	-0.02	-0.29	-0.32	0.11	0.01	0.97
2628	-0.02	-0.32	-0.40	0.11	0.01	0.96
2646	-0.09	-0.27	-0.40	0.11	0.01	0.96
2666	-0.17	-0.31	-0.34	0.11	0.01	0.97
2685	-0.03	-0.21	-0.38	0.11	0.01	0.96
2704	-0.02	-0.18	-0.40	0.11	0.01	0.96
2723	-0.09	-0.31	-0.31	0.11	0.01	0.97
2742	-0.23	-0.20	-0.35	0.11	0.01	0.97
2762	-0.05	-0.35	-0.37	0.11	0.01	0.96
2781	-0.03	-0.29	-0.31	0.11	0.01	0.96
2799	-0.20	-0.21	-0.32	0.11	0.01	0.97
2819	-0.05	-0.23	-0.35	0.11	0.01	0.96
2837	-0.12	-0.26	-0.37	0.11	0.01	0.97
2856	-0.08	-0.24	-0.31	0.11	0.00	0.96
2876	-0.05	-0.24	-0.38	0.11	0.01	0.97
2894	-0.08	-0.24	-0.38	0.11	0.01	0.97
2914	0.12	-0.20	-0.31	0.11	0.01	0.97
2932	-0.06	-0.24	-0.34	0.11	0.01	0.96
2950	-0.15	-0.29	-0.26	0.11	0.01	0.96
2970	-0.08	-0.29	-0.29	0.11	0.01	0.97
2989	-0.12	-0.29	-0.34	0.11	0.01	0.97
3009	-0.06	-0.24	-0.41	0.11	0.01	0.96
3027	-0.09	-0.26	-0.35	0.11	0.01	0.96
3045	-0.05	-0.21	-0.26	0.11	0.01	0.97
3066	-0.08	-0.24	-0.40	0.11	0.01	0.96
3084	-0.29	-0.27	-0.29	0.11	0.01	0.95
3103	-0.41	-0.29	-0.35	0.11	0.01	1.00
3122	-0.17	-0.26	-0.44	0.11	0.00	0.95
3140	-0.02	-0.35	-0.31	0.11	0.01	0.97
3158	0.09	-0.21	-0.37	0.11	0.01	0.97
3176	-0.18	-0.29	-0.35	0.11	0.01	0.97
3195	-0.18	-0.26	-0.38	0.11	0.01	0.97
3214	-0.15	-0.26	-0.37	0.11	0.00	0.95
3233	-0.06	-0.29	-0.34	0.11	0.01	0.98
3251	0.09	-0.35	-0.29	0.11	0.01	0.96
3270	-0.03	-0.32	-0.43	0.11	0.01	0.96
3290	-0.27	-0.18	-0.32	0.11	0.01	0.97
3308	-0.20	-0.24	-0.38	0.11	0.01	0.97
3328	-0.03	-0.24	-0.34	0.11	0.00	0.96
3346	0.03	-0.26	-0.44	0.11	0.01	0.97
3364	0.03	-0.32	-0.32	0.11	0.01	0.97
3384	-0.06	-0.21	-0.37	0.11	0.01	0.96
3402	-0.15	-0.20	-0.38	0.11	0.01	0.96
3422	-0.11	-0.24	-0.35	0.11	0.00	0.96
3440	-0.08	-0.27	-0.31	0.11	0.01	0.96
3460	0.00	-0.27	-0.32	0.11	0.01	0.96
3478	0.00	-0.32	-0.34	0.11	0.01	0.97
3496	-0.09	-0.24	-0.31	0.11	0.01	0.97
3516	-0.23	-0.20	-0.38	0.11	0.01	0.96
3534	-0.14	-0.20	-0.34	0.11	0.00	0.96
3554	-0.05	-0.18	-0.35	0.11	0.01	0.97
3573	0.00	-0.26	-0.29	0.11	0.01	0.96
3591	-0.11	-0.21	-0.32	0.11	0.01	0.96
3611	0.00	-0.26	-0.31	0.11	0.01	0.97
3629	-0.20	-0.26	-0.32	0.11	0.01	0.96
3648	-0.08	-0.26	-0.29	0.11	0.01	0.97
3667	-0.11	-0.23	-0.32	0.11	0.01	0.96
3687	0.03	-0.31	-0.37	0.11	0.01	0.96
3705	-0.03	-0.24	-0.40	0.11	0.01	0.97
3724	-0.14	-0.26	-0.37	0.11	0.01	0.97
3743	-0.03	-0.35	-0.37	0.11	0.00	0.94
3762	-0.06	-0.27	-0.26	0.10	0.00	0.92
3781	0.27	-0.63	-0.38	0.12	0.00	1.05
3800	0.34	-0.44	-0.37	0.10	0.01	0.91
3818	0.12	-0.58	-0.29	0.12	0.01	1.00
3837	-0.05	-0.34	-0.34	0.11	0.00	0.93
3855	0.08	-0.20	-0.41	0.11	0.00	0.99
3874	0.31	-0.29	-0.37	0.11	0.00	0.95
3893	0.40	-0.31	-0.46	0.10	0.01	0.93
3911	0.35	-0.43	-0.32	0.11	0.01	0.99
3930	0.18	-0.58	-0.40	0.11	0.01	0.97
3948	-0.02	-0.69	-0.24	0.11	0.01	0.97
3968	0.03	-0.49	-0.35	0.11	0.01	0.96
3986	0.12	-0.43	-0.34	0.11	0.00	0.97
4006	0.12	-0.20	-0.43	0.11	0.01	0.97
4024	0.03	-0.03	-0.29	0.11	0.01	0.96
4042	-0.14	0.05	-0.34	0.11	0.01	0.97
4061	-0.31	-0.06	-0.35	0.11	0.01	0.96
4079	-0.05	-0.09	-0.37	0.11	0.00	0.96
4099	-0.02	-0.34	-0.38	0.11	0.01	0.96
4118	0.15	-0.41	-0.35	0.11	0.01	0.96
4136	0.20	-0.38	-0.32	0.11	0.01	0.97
4155	0.05	-0.55	-0.35	0.11	0.01	0.96
4173	0.00	-0.53	-0.35	0.11	0.01	0.97
4192	-0.03	-0.38	-0.31	0.11	0.01	0.96
4211	0.14	-0.23	-0.38	0.11	0.01	0.97
4229	0.09	-0.37	-0.40	0.11	0.01	0.97
4248	0.08	-0.26	-0.37	0.11	0.01	0.97
4266	0.11	-0.29	-0.43	0.11	0.01	0.97
4284	-0.06	-0.35	-0.27	0.11	0.01	0.96
4304	0.09	-0.35	-0.40	0.11	0.01	0.96
4322	0.11	-0.32	-0.35	0.11	0.01	0.97
4341	0.00	-0.35	-0.37	0.11	0.01	0.97
4359	-0.03	-0.15	-0.27	0.11	0.01	0.97
4379	-0.08	-0.26	-0.40	0.11	0.01	0.97
4398	-0.12	-0.14	-0.41	0.11	0.01	0.97
4416	-0.20	-0.08	-0.47	0.11	0.01	0.97
4436	-0.12	-0.18	-0.31	0.11	0.01	0.96
4455	-0.02	-0.15	-0.26	0.11	0.00	0.96
4475	0.05	-0.09	-0.38	0.12	0.01	1.01
4493	0.05	0.12	-0.34	0.10	0.02	0.92
4511	-0.47	0.03	-0.20	0.12	0.01	1.00
4530	-0.81	0.14	-0.23	0.11	0.01	0.94
4548	-0.52	0.18	-0.29	0.11	0.00	0.97
4567	-0.21	0.23	-0.31	0.11	0.01	0.96
4585	-0.20	0.23	-0.34	0.11	0.01	0.95
4604	-0.38	0.21	-0.23	0.11	0.01	0.95
4623	-0.38	-0.05	-0.37	0.11	0.01	0.97
4641	-0.21	-0.21	-0.32	0.11	0.00	0.97
4661	-0.06	-0.29	-0.37	0.11	0.01	0.96
4680	-0.20	-0.37	-0.35	0.11	0.01	0.96
4698	-0.15	-0.43	-0.27	0.11	0.01	0.96
4718	-0.09	-0.32	-0.29	0.11	0.01	0.96
4736	-0.20	-0.14	-0.34	0.11	0.01	0.97
