Time	Gx	Gy	Gz	Ax	Ay	Az
19936	-8.85	-44.22	3.04	0.20	0.09	0.54
19954	-8.44	-33.80	4.81	0.24	0.14	0.60
19974	-12.63	-8.10	3.36	0.27	0.17	0.69
19992	-18.25	17.18	0.89	0.29	0.15	0.84
20011	-19.88	41.63	2.35	0.23	0.16	0.96
20028	-20.77	54.44	2.21	0.16	0.11	1.07
20046	-19.53	57.57	-0.72	0.17	0.13	1.16
20065	-20.08	63.40	-4.68	0.11	0.14	1.20
20083	-15.59	59.71	-1.16	0.06	0.05	1.36
20101	-5.16	48.52	5.57	0.01	0.13	1.46
20120	-7.00	33.26	11.66	0.01	0.18	1.46
20138	-8.79	25.63	13.95	0.04	0.13	1.56
20156	-4.32	10.01	17.12	-0.02	0.13	1.69
20175	-4.76	-13.26	22.72	0.02	0.21	1.63
20193	-7.05	-22.29	25.60	0.21	0.12	1.75
20212	-1.46	-17.32	22.54	0.24	0.16	1.80
20230	-1.08	-14.25	20.49	0.23	0.19	1.76
20249	-2.94	-8.35	16.74	0.28	0.16	1.77
20267	-1.95	2.59	12.37	0.33	0.16	1.83
20285	-0.18	17.21	7.93	0.32	0.13	1.79
20303	3.52	27.04	3.20	0.24	0.11	1.77
20320	6.16	28.63	0.84	0.21	0.10	1.75
20339	11.83	27.80	-3.25	0.17	0.12	1.72
20357	14.85	24.23	-5.95	0.15	0.14	1.71
20375	14.33	17.97	-7.97	0.15	0.18	1.68
20394	10.71	13.93	-10.44	0.16	0.21	1.64
20411	8.01	12.86	-12.16	0.16	0.20	1.62
20430	4.33	11.09	-14.79	0.15	0.17	1.57
20447	5.05	9.52	-14.25	0.14	0.14	1.49
20465	7.77	8.53	-11.47	0.12	0.12	1.41
20484	10.06	7.71	-9.54	0.12	0.11	1.38
20501	15.35	6.39	-4.67	0.10	0.12	1.30
20520	18.49	4.17	2.44	0.08	0.14	1.22
20537	20.03	1.46	11.09	0.07	0.13	1.15
20554	20.97	0.46	15.23	0.07	0.13	1.11
20572	22.03	-0.95	22.19	0.06	0.14	1.04
20590	21.32	-1.60	27.39	0.06	0.16	0.95
20608	18.20	-1.77	30.38	0.04	0.17	0.88
20626	16.20	-2.70	30.96	0.03	0.17	0.81
20644	11.28	-4.56	30.11	0.04	0.16	0.77
20662	7.29	-5.60	26.17	0.03	0.16	0.69
20680	2.38	-8.07	20.90	-0.01	0.18	0.61
20699	-5.75	-14.24	13.96	-0.01	0.20	0.53
20719	-10.48	-17.09	9.49	-0.01	0.20	0.43
20737	-20.39	-22.81	-1.59	-0.01	0.19	0.38
20757	-31.75	-25.01	-13.64	0.02	0.19	0.28
20776	-43.87	-23.70	-25.41	0.05	0.17	0.18
20795	-54.38	-19.04	-35.69	0.02	0.13	0.10
20814	-60.84	-17.88	-42.74	-0.00	0.07	0.03
20833	-63.03	-19.41	-47.13	-0.01	0.05	-0.01
20853	-62.03	-20.52	-50.00	-0.03	-0.00	-0.03
20873	-54.61	-24.05	-51.88	-0.05	-0.06	-0.01
20894	-40.91	-29.10	-51.96	-0.07	-0.09	0.02
20914	-24.12	-36.35	-49.76	-0.05	-0.09	0.06
20933	-9.34	-39.63	-46.25	-0.02	-0.05	0.08
20953	0.43	-41.06	-42.88	-0.02	0.00	0.13
20971	3.27	-41.99	-40.28	-0.03	-0.00	0.16
20990	10.97	-44.69	-34.82	-0.01	-0.03	0.22
21009	19.44	-43.79	-31.69	0.06	0.02	0.27
21028	21.85	-36.19	-29.05	0.08	0.04	0.38
21046	28.09	-27.45	-23.61	0.14	-0.01	0.50
21064	33.17	-21.00	-20.92	0.24	0.09	0.64
21082	36.51	-1.11	-18.28	0.27	0.18	0.69
21101	27.77	24.32	-15.41	0.28	0.15	0.82
21119	27.37	47.03	-10.19	0.25	0.12	1.01
21136	22.87	60.47	-5.71	0.15	0.30	1.12
21154	13.38	62.88	-5.13	0.13	0.33	1.16
21171	-3.81	62.42	-4.65	0.07	0.20	1.27
21189	-10.38	53.60	1.46	0.03	0.21	1.36
21207	-15.56	40.13	12.37	0.05	0.16	1.49
21224	-15.47	34.24	16.31	0.07	0.14	1.52
21243	-14.19	21.59	22.40	0.00	0.13	1.50
21260	-10.56	3.65	27.76	0.02	0.08	1.63
21278	-2.94	-11.61	31.30	0.09	0.12	1.68
21297	-0.64	-17.03	32.20	0.12	0.14	1.69
21315	1.83	-19.58	32.41	0.28	0.19	1.77
21332	-1.72	-6.81	31.16	0.36	0.25	1.79
21350	-8.44	11.44	29.04	0.34	0.19	1.74
21368	-9.19	19.26	27.31	0.33	0.15	1.76
21385	-4.20	32.47	22.81	0.30	0.08	1.76
21403	6.56	39.76	17.76	0.20	0.06	1.73
21420	17.93	34.61	13.43	0.11	0.06	1.70
21438	23.16	28.96	11.60	0.08	0.08	1.68
21455	29.68	14.74	9.22	0.08	0.12	1.64
21472	31.80	3.07	7.92	0.13	0.17	1.62
21489	30.44	0.06	7.28	0.16	0.20	1.60
21507	22.86	-0.73	5.52	0.18	0.26	1.57
21525	12.24	2.38	3.48	0.22	0.24	1.56
21544	6.93	9.78	2.29	0.22	0.19	1.50
21561	5.98	13.69	2.49	0.21	0.18	1.46
21580	5.66	20.71	3.71	0.16	0.14	1.39
21597	9.89	22.55	6.18	0.10	0.11	1.33
21615	15.56	18.63	10.88	0.05	0.11	1.26
21633	18.66	15.40	13.87	0.04	0.11	1.18
21650	23.83	9.55	20.40	0.02	0.10	1.14
21668	29.02	1.22	26.38	-0.02	0.11	1.06
21686	32.99	-8.45	31.80	0.00	0.12	0.99
21703	34.04	-11.40	33.62	0.04	0.15	0.89
21723	33.31	-13.34	35.03	0.04	0.16	0.85
21740	30.27	-14.82	32.56	-0.00	0.17	0.77
21759	26.12	-18.94	26.67	0.02	0.17	0.71
21777	20.37	-17.24	17.14	0.08	0.21	0.64
21794	15.75	-13.78	12.05	0.08	0.23	0.61
21814	4.10	-10.51	1.33	0.07	0.24	0.54
21831	-9.08	-5.86	-10.88	0.05	0.22	0.46
21850	-20.13	-9.64	-26.03	0.05	0.22	0.39
21869	-32.94	-1.74	-39.66	0.02	0.19	0.31
21888	-42.89	8.01	-52.29	-0.00	0.12	0.24
21907	-44.16	1.40	-58.81	0.00	0.07	0.15
21926	-45.56	0.40	-68.28	0.00	0.07	0.12
21944	-46.17	-2.75	-73.93	-0.02	0.04	0.07
21964	-45.21	-6.44	-76.16	-0.04	0.03	0.04
21983	-42.95	-11.52	-75.41	-0.05	0.01	0.04
22003	-37.09	-14.92	-72.14	-0.06	-0.03	0.07
22023	-26.81	-22.03	-67.23	-0.06	-0.05	0.11
22044	-15.53	-28.17	-60.61	-0.06	-0.02	0.15
22063	-7.32	-38.45	-51.32	-0.05	0.02	0.18
