Time	Gx	Gy	Gz	Ax	Ay	Az
8388	-47.27	236.24	-30.33	0.13	0.21	2.07
8408	-42.95	235.84	-22.14	0.25	0.28	2.22
8426	-43.52	239.12	-22.63	0.19	0.33	2.33
8445	-47.81	233.38	-23.54	0.15	0.30	2.59
8463	-42.24	236.24	-18.04	0.41	0.23	2.70
8481	-35.29	262.41	-23.94	0.43	0.30	2.65
8501	-37.03	279.92	-40.77	0.24	0.27	2.75
8519	-29.97	282.06	-48.65	0.23	0.16	2.78
8538	-21.61	282.90	-47.85	0.22	0.21	2.70
8556	-7.32	285.28	-41.58	0.21	0.26	2.63
8574	-6.10	286.94	-39.12	0.16	0.34	2.49
8593	-14.69	287.61	-40.62	0.19	0.38	2.39
8612	-31.42	291.67	-39.41	0.19	0.39	2.26
8631	-39.84	294.40	-37.99	0.19	0.30	2.01
8649	-51.54	301.22	-32.78	0.23	0.22	1.84
8667	-51.74	316.93	-27.73	0.22	0.12	1.49
8686	-44.10	327.88	-21.48	0.03	0.05	1.24
8704	-31.71	313.39	-13.09	-0.25	0.02	1.10
8723	-18.69	268.36	-2.14	-0.47	0.02	1.01
8742	-7.06	206.16	9.48	-0.49	0.02	0.87
8760	-2.43	175.58	14.27	-0.45	0.03	0.80
8780	1.82	122.76	21.93	-0.35	0.08	0.70
8797	0.29	81.73	26.67	-0.28	0.06	0.62
8815	-0.76	47.12	25.83	-0.28	0.05	0.58
8834	-3.34	8.74	23.61	-0.39	0.05	0.59
8852	-4.35	-16.36	23.35	-0.48	0.04	0.61
8871	-4.59	-81.05	26.46	-0.61	0.01	0.66
8890	-1.16	-157.29	30.73	-0.61	-0.01	0.68
8909	3.22	-230.07	34.00	-0.67	0.02	0.76
8929	5.43	-313.35	41.63	-0.81	0.04	0.89
8947	7.10	-408.75	51.50	-0.70	0.08	1.04
8966	5.43	-482.51	60.82	-0.43	0.13	1.30
8984	4.15	-500.00	65.48	-0.27	0.14	1.49
9002	4.07	-499.65	75.20	0.17	0.18	2.00
9021	9.17	-497.44	78.02	0.76	0.16	2.44
9039	20.65	-417.21	55.73	1.11	0.19	2.72
9057	23.83	-311.00	19.94	1.10	0.35	2.81
9075	19.68	-261.80	5.16	0.97	0.41	2.80
9092	5.13	-190.03	-17.18	0.56	0.41	2.77
9112	-8.18	-175.28	-27.76	0.02	0.37	2.77
9130	-12.44	-215.74	-23.91	-0.27	0.26	2.67
9151	-0.38	-275.18	-12.88	-0.23	0.10	2.47
9170	20.58	-323.06	0.63	-0.13	0.11	2.26
9189	28.88	-340.96	8.94	-0.05	0.12	2.17
9207	41.02	-358.31	25.47	0.20	0.13	2.03
9225	48.23	-344.51	37.16	0.45	0.19	1.96
9243	45.49	-308.69	42.39	0.46	0.26	1.86
9261	37.54	-273.91	47.62	0.40	0.24	1.70
9280	34.09	-258.68	48.92	0.33	0.22	1.53
9297	27.34	-234.45	48.22	0.26	0.21	1.44
9315	19.82	-224.75	47.16	0.10	0.19	1.24
9334	13.20	-230.13	50.08	0.01	0.15	1.03
