Time	Gx	Gy	Gz	Ax	Ay	Az
3805	-6.07	10.51	-2.29	0.22	-0.03	0.96
3823	-2.98	16.28	-1.56	0.19	-0.05	0.95
3841	-0.23	19.21	-1.74	0.16	-0.03	0.99
3861	0.85	20.36	-2.11	0.09	-0.02	0.98
3878	2.27	19.52	-1.57	0.07	0.01	0.98
3898	1.01	17.12	0.72	0.08	0.05	1.00
3915	-4.26	15.61	4.87	0.11	0.12	1.04
3932	-18.74	12.86	13.05	0.12	0.12	1.24
3951	-25.18	11.11	17.97	0.11	0.08	1.29
3968	-30.41	6.68	27.60	0.11	-0.00	1.32
3987	-27.48	2.38	37.98	0.10	-0.05	1.40
4005	-21.06	-1.83	50.54	0.11	-0.06	1.41
4025	-13.79	-3.94	64.10	0.16	-0.07	1.40
4043	-9.99	-3.13	70.80	0.17	-0.04	1.42
4062	-4.09	-0.78	84.53	0.15	-0.03	1.45
4081	-1.39	-3.37	99.40	0.11	-0.02	1.47
4100	1.01	-7.58	114.06	0.14	-0.03	1.44
4118	4.58	-7.60	127.08	0.17	-0.04	1.46
4137	9.45	-4.94	137.65	0.20	-0.05	1.46
4155	12.05	-2.46	142.09	0.24	-0.05	1.45
4174	17.18	5.49	149.08	0.25	-0.03	1.45
4191	17.82	14.91	154.51	0.23	0.01	1.43
4209	14.37	19.97	159.01	0.16	0.04	1.42
4227	8.56	18.40	161.53	0.13	0.03	1.37
4244	5.02	17.47	160.90	0.12	0.04	1.36
4262	-4.96	13.98	155.55	0.10	0.06	1.31
4279	-16.69	9.34	145.36	0.06	0.03	1.25
4298	-21.68	5.42	138.32	0.03	-0.03	1.20
4317	-28.35	-3.86	119.92	0.03	-0.06	1.17
4335	-31.57	-13.49	97.82	0.00	-0.09	1.12
4354	-32.49	-25.51	76.45	-0.03	-0.10	1.04
4373	-33.05	-39.60	57.57	-0.01	-0.11	0.96
4392	-33.13	-48.69	42.53	0.00	-0.11	0.85
4410	-33.00	-53.57	30.90	0.03	-0.12	0.76
4431	-31.23	-54.05	22.89	0.04	-0.12	0.67
